Filename,NP_1protein_02XG_phi025_pH3_Time0_REP1
Instrument name,5333-0043
Operator,Harrison
rundate,1/19/2023
Sample name,NP_1protein_02XG_phi025_pH3_Time0_REP1
Geometry name,40mm parallel plate, Peltier plate Steel  - 104209
Procedure name,Sample
,Creep-recovery
proceduresegments,Creep-recovery
[step]
Creep - 1
Torque,Displacement,Step time,Temperature,Axial force,Gap,Compliance,Strain,Stress
µN.m,rad,s,°C,N,µm,1/MPa,%,MPa
1.25664,2.95454e-4,1.28618,25.01,0.115749,599.883,98504.0,0.985040,1.00000e-7
1.25664,2.97682e-4,1.31894,25.01,0.112049,599.883,99246.9,0.992468,1.00000e-7
1.25664,2.99855e-4,1.35171,25.01,0.107773,599.883,99971.1,0.999711,1.00000e-7
1.25664,3.02370e-4,1.38448,25.01,0.113338,599.883,100810,1.00810,1.00000e-7
1.25664,3.05088e-4,1.41725,25.01,0.111393,599.883,101716,1.01716,1.00000e-7
1.25664,3.07696e-4,1.45002,25.01,0.113911,599.883,102585,1.02585,1.00000e-7
1.25664,3.10301e-4,1.48278,25.01,0.112202,599.879,103454,1.03454,1.00000e-7
1.25664,3.12266e-4,1.51555,25.01,0.113167,599.879,104110,1.04110,1.00000e-7
1.25664,3.14825e-4,1.54832,25.01,0.107258,599.879,104963,1.04963,1.00000e-7
1.25664,3.15976e-4,1.58109,25.01,0.109692,599.879,105346,1.05346,1.00000e-7
1.25664,3.18631e-4,1.61386,25.01,0.109665,599.879,106232,1.06232,1.00000e-7
1.25664,3.20015e-4,1.64662,25.01,0.111931,599.879,106693,1.06693,1.00000e-7
1.25664,3.22234e-4,1.67939,25.01,0.111343,599.879,107433,1.07433,1.00000e-7
1.25664,3.24444e-4,1.71216,25.01,0.111691,599.879,108170,1.08170,1.00000e-7
1.25664,3.26304e-4,1.74493,25.01,0.110531,599.879,108790,1.08790,1.00000e-7
1.25664,3.28561e-4,1.77770,25.01,0.108856,599.879,109542,1.09542,1.00000e-7
1.25664,3.30747e-4,1.81046,25.01,0.108997,599.879,110271,1.10271,1.00000e-7
1.25664,3.32655e-4,1.84323,25.01,0.109837,599.879,110907,1.10907,1.00000e-7
1.25664,3.34410e-4,1.87600,25.01,0.110806,599.883,111492,1.11492,1.00000e-7
1.25664,3.36637e-4,1.90877,25.01,0.109470,599.883,112234,1.12234,1.00000e-7
1.25664,3.38092e-4,1.94154,25.01,0.109249,599.883,112719,1.12719,1.00000e-7
1.25664,3.40158e-4,1.97430,25.01,0.106709,599.883,113408,1.13408,1.00000e-7
1.25664,3.42056e-4,2.00707,25.01,0.105484,599.883,114041,1.14041,1.00000e-7
1.25664,3.44063e-4,2.03984,25.01,0.101696,599.883,114710,1.14710,1.00000e-7
1.25664,3.46180e-4,2.07261,25.01,0.107494,599.906,115411,1.15411,1.00000e-7
1.25664,3.47868e-4,2.10538,25.01,0.108677,599.906,115974,1.15974,1.00000e-7
1.25664,3.49975e-4,2.13814,25.01,0.107925,599.906,116677,1.16677,1.00000e-7
1.25664,3.51724e-4,2.17091,25.01,0.105576,599.906,117260,1.17260,1.00000e-7
1.25664,3.53502e-4,2.20368,25.01,0.107361,599.906,117852,1.17852,1.00000e-7
1.25664,3.55143e-4,2.23645,25.01,0.103916,599.906,118399,1.18399,1.00000e-7
1.25664,3.57245e-4,2.26922,25.00,0.104942,599.926,119096,1.19096,1.00000e-7
1.25664,3.58641e-4,2.30198,25.00,0.108059,599.926,119562,1.19562,1.00000e-7
1.25664,3.60601e-4,2.33475,25.00,0.104340,599.926,120215,1.20215,1.00000e-7
1.25664,3.62593e-4,2.36752,25.00,0.103596,599.926,120879,1.20879,1.00000e-7
1.25664,3.64085e-4,2.40029,25.00,0.100113,599.926,121377,1.21377,1.00000e-7
1.25664,3.66122e-4,2.43306,25.00,0.0978432,599.926,122056,1.22056,1.00000e-7
1.25664,3.67638e-4,2.46582,25.00,0.0994034,599.945,122557,1.22557,1.00000e-7
1.25664,3.69454e-4,2.49859,25.00,0.102055,599.945,123163,1.23163,1.00000e-7
1.25664,3.71182e-4,2.53136,25.00,0.0980415,599.945,123739,1.23739,1.00000e-7
1.25664,3.72929e-4,2.56413,25.00,0.100521,599.945,124321,1.24321,1.00000e-7
1.25664,3.75459e-4,2.61328,25.00,0.0968666,599.945,125164,1.25164,1.00000e-7
1.25664,3.79033e-4,2.67882,25.01,0.0959587,600.023,126339,1.26339,1.00000e-7
1.25664,3.82453e-4,2.74435,25.01,0.0930138,600.023,127479,1.27479,1.00000e-7
1.25664,3.85678e-4,2.80989,25.01,0.0903969,600.023,128554,1.28554,1.00000e-7
1.25664,3.89194e-4,2.87542,25.01,0.0849686,600.062,129718,1.29718,1.00000e-7
1.25664,3.92303e-4,2.94096,25.01,0.0899239,600.062,130754,1.30754,1.00000e-7
1.25664,3.95545e-4,3.00650,25.01,0.0847549,600.062,131835,1.31835,1.00000e-7
1.25664,3.98568e-4,3.07203,25.01,0.0853691,600.121,132829,1.32829,1.00000e-7
1.25664,4.01865e-4,3.13757,25.01,0.0891075,600.121,133928,1.33928,1.00000e-7
1.25664,4.04841e-4,3.20310,25.01,0.0860596,600.121,134920,1.34920,1.00000e-7
1.25664,4.07713e-4,3.26864,25.01,0.0881042,600.160,135868,1.35868,1.00000e-7
1.25664,4.10686e-4,3.33418,25.01,0.0916214,600.160,136859,1.36859,1.00000e-7
